r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,Q
0.022,0.139,0.07,0.109,0.147,0.123,0.117,0.016,0.127,0.13,0,0,0,0,0,0,0,0,0,0,1229.717543
0.13,0.042,0.219,0.17,0.159,0.114,0.02,0.065,0.028,0.053,0,0,0,0,0,0,0,0,0,0,399.5561321
0.013,0.174,0.011,0.211,0.014,0.043,0.096,0.059,0.168,0.211,0,0,0,0,0,0,0,0,0,0,1718.335728
0.096,0.008,0.164,0.17,0.071,0.104,0.04,0.133,0.17,0.044,0,0,0,0,0,0,0,0,0,0,484.1626866
0.134,0.014,0.176,0.149,0.187,0.022,0.017,0.097,0.047,0.157,0,0,0,0,0,0,0,0,0,0,392.0837931
0.046,0.096,0.113,0.115,0.11,0.057,0.135,0.06,0.12,0.148,0,0,0,0,0,0,0,0,0,0,770.8985563
0.096,0.199,0.03,0.096,0.214,0.022,0.041,0.198,0.095,0.009,0,0,0,0,0,0,0,0,0,0,484.0060828
0.044,0.186,0.083,0.121,0.105,0.128,0.108,0.061,0.035,0.129,0,0,0,0,0,0,0,0,0,0,792.4208726
0.098,0.187,0.107,0.018,0.086,0.012,0.147,0.056,0.13,0.159,0,0,0,0,0,0,0,0,0,0,477.8531122
0.14,0.06,0.053,0.154,0.212,0.093,0.112,0.04,0.005,0.131,0,0,0,0,0,0,0,0,0,0,381.3614487
0.112,0.093,0.13,0.094,0.119,0.124,0.068,0.064,0.072,0.124,0,0,0,0,0,0,0,0,0,0,439.1430238
0.087,0.161,0.053,0.113,0.015,0.035,0.158,0.168,0.094,0.116,0,0,0,0,0,0,0,0,0,0,515.2466332
0.013,0.048,0.182,0.012,0.205,0.155,0.208,0.117,0.019,0.041,0,0,0,0,0,0,0,0,0,0,1716.89805
0.08,0.159,0.16,0.143,0.13,0.128,0.024,0.082,0.047,0.047,0,0,0,0,0,0,0,0,0,0,542.9331325
0.143,0.102,0.127,0.088,0.059,0.029,0.057,0.042,0.198,0.155,0,0,0,0,0,0,0,0,0,0,376.345416
0.126,0.116,0.122,0.023,0.139,0.177,0.018,0.025,0.126,0.128,0,0,0,0,0,0,0,0,0,0,407.6495877
0.12,0.01,0.146,0.061,0.108,0.174,0.165,0.065,0.146,0.005,0,0,0,0,0,0,0,0,0,0,420.4766323
0.074,0.17,0.164,0.059,0.122,0.04,0.114,0.125,0.025,0.107,0,0,0,0,0,0,0,0,0,0,570.4731318
0.022,0.23,0.006,0.046,0.247,0.006,0.06,0.168,0.016,0.199,0,0,0,0,0,0,0,0,0,0,1229.599812
0.159,0.088,0.119,0.062,0.092,0.097,0.162,0.024,0.065,0.132,0,0,0,0,0,0,0,0,0,0,351.8791429
0.088,0.05,0.168,0.052,0.149,0.054,0.021,0.179,0.065,0.174,0,0,0,0,0,0,0,0,0,0,511.5648162
0.027,0.157,0.222,0.036,0.118,0.13,0.131,0.006,0.083,0.09,0,0,0,0,0,0,0,0,0,0,1079.113087
0.008,0.097,0.138,0.138,0.112,0.144,0.044,0.141,0.014,0.164,0,0,0,0,0,0,0,0,0,0,2336.037705
0.146,0.181,0.078,0.116,0.031,0.043,0.196,0.071,0.126,0.012,0,0,0,0,0,0,0,0,0,0,371.3402039
0.187,0.087,0.056,0.182,0.064,0.012,0.041,0.075,0.219,0.077,0,0,0,0,0,0,0,0,0,0,317.5527018
0.025,0.129,0.182,0.039,0.172,0.064,0.052,0.069,0.079,0.189,0,0,0,0,0,0,0,0,0,0,1133.774456
0.135,0.127,0.115,0.173,0.016,0.082,0.169,0.043,0.021,0.119,0,0,0,0,0,0,0,0,0,0,390.1912576
0.093,0.071,0.119,0.023,0.129,0.113,0.125,0.084,0.128,0.115,0,0,0,0,0,0,0,0,0,0,494.0245921
0.109,0.018,0.147,0.085,0.117,0.151,0.065,0.136,0.113,0.059,0,0,0,0,0,0,0,0,0,0,446.8267979
0.105,0.021,0.161,0.136,0.147,0.017,0.005,0.126,0.189,0.093,0,0,0,0,0,0,0,0,0,0,457.5215376
0.196,0.049,0.097,0.145,0.119,0.083,0.064,0.191,0.024,0.032,0,0,0,0,0,0,0,0,0,0,308.1946879
0.136,0.103,0.061,0.181,0.167,0.105,0.163,0.019,0.021,0.044,0,0,0,0,0,0,0,0,0,0,388.3518475
0.025,0.031,0.141,0.111,0.183,0.151,0.168,0.095,0.037,0.058,0,0,0,0,0,0,0,0,0,0,1134.008454
0.161,0.045,0.14,0.103,0.099,0.162,0.104,0.065,0.041,0.08,0,0,0,0,0,0,0,0,0,0,349.0865643
0.06,0.126,0.053,0.077,0.159,0.053,0.077,0.116,0.14,0.139,0,0,0,0,0,0,0,0,0,0,651.7190704
0.137,0.068,0.09,0.07,0.098,0.163,0.135,0.162,0.062,0.015,0,0,0,0,0,0,0,0,0,0,386.6584793
0.049,0.006,0.182,0.046,0.184,0.073,0.123,0.098,0.054,0.185,0,0,0,0,0,0,0,0,0,0,740.8618244
0.14,0.115,0.038,0.064,0.135,0.112,0.107,0.079,0.052,0.158,0,0,0,0,0,0,0,0,0,0,381.414709
0.078,0.124,0.162,0.066,0.041,0.17,0.136,0.078,0.085,0.06,0,0,0,0,0,0,0,0,0,0,551.8980867
0.081,0.157,0.149,0.167,0.099,0.025,0.059,0.092,0.028,0.143,0,0,0,0,0,0,0,0,0,0,538.7818577
0.198,0.024,0.176,0.006,0.098,0.055,0.145,0.08,0.169,0.049,0,0,0,0,0,0,0,0,0,0,306.2648173
0.096,0.053,0.161,0.017,0.058,0.162,0.168,0.13,0.007,0.148,0,0,0,0,0,0,0,0,0,0,484.186069
0.157,0.07,0.072,0.015,0.101,0.158,0.072,0.159,0.061,0.135,0,0,0,0,0,0,0,0,0,0,354.7751547
0.069,0.025,0.013,0.205,0.05,0.163,0.167,0.02,0.076,0.212,0,0,0,0,0,0,0,0,0,0,596.7610615
0.095,0.118,0.116,0.114,0.054,0.124,0.117,0.124,0.09,0.048,0,0,0,0,0,0,0,0,0,0,487.279974
0.081,0.042,0.01,0.111,0.132,0.039,0.075,0.164,0.154,0.192,0,0,0,0,0,0,0,0,0,0,539.3506939
0.007,0.125,0.074,0.126,0.122,0.138,0.102,0.118,0.114,0.074,0,0,0,0,0,0,0,0,0,0,2541.472848
0.121,0.111,0.104,0.1,0.012,0.007,0.139,0.109,0.146,0.151,0,0,0,0,0,0,0,0,0,0,418.3071546
0.089,0.041,0.089,0.075,0.131,0.148,0.148,0.149,0.066,0.064,0,0,0,0,0,0,0,0,0,0,507.9364646
0.089,0.132,0.005,0.047,0.084,0.08,0.15,0.157,0.087,0.169,0,0,0,0,0,0,0,0,0,0,508.0347047
0.077,0.091,0.057,0.161,0.112,0.05,0.109,0.035,0.152,0.156,0,0,0,0,0,0,0,0,0,0,556.6141888
0.099,0.057,0.062,0.03,0.186,0.178,0.023,0.027,0.212,0.126,0,0,0,0,0,0,0,0,0,0,474.9443499
0.04,0.161,0.096,0.151,0.102,0.16,0.117,0.097,0.054,0.022,0,0,0,0,0,0,0,0,0,0,841.539349
0.11,0.129,0.086,0.09,0.096,0.05,0.133,0.034,0.125,0.147,0,0,0,0,0,0,0,0,0,0,444.2224305
0.155,0.006,0.064,0.026,0.083,0.024,0.158,0.161,0.145,0.178,0,0,0,0,0,0,0,0,0,0,357.7736929
0.024,0.079,0.095,0.138,0.035,0.078,0.127,0.147,0.137,0.14,0,0,0,0,0,0,0,0,0,0,1164.685265
0.076,0.097,0.055,0.119,0.088,0.083,0.133,0.149,0.045,0.155,0,0,0,0,0,0,0,0,0,0,561.2441938
0.026,0.17,0.087,0.183,0.105,0.1,0.038,0.124,0.01,0.157,0,0,0,0,0,0,0,0,0,0,1105.503668
0.114,0.128,0.166,0.046,0.006,0.104,0.161,0.173,0.089,0.013,0,0,0,0,0,0,0,0,0,0,434.2530617
0.033,0.116,0.054,0.124,0.155,0.103,0.079,0.15,0.123,0.063,0,0,0,0,0,0,0,0,0,0,951.2302712
0.192,0.027,0.161,0.136,0.11,0.017,0.035,0.114,0.056,0.152,0,0,0,0,0,0,0,0,0,0,312.2663615
0.076,0.122,0.08,0.133,0.015,0.15,0.18,0.053,0.093,0.098,0,0,0,0,0,0,0,0,0,0,561.1325309
0.085,0.091,0.013,0.036,0.162,0.216,0.135,0.163,0.059,0.04,0,0,0,0,0,0,0,0,0,0,522.9207222
0.009,0.154,0.063,0.049,0.091,0.148,0.276,0.15,0.045,0.015,0,0,0,0,0,0,0,0,0,0,2166.709392
0.081,0.019,0.146,0.028,0.112,0.168,0.098,0.12,0.122,0.106,0,0,0,0,0,0,0,0,0,0,539.16279
0.161,0.108,0.108,0.155,0.137,0.009,0.134,0.027,0.087,0.074,0,0,0,0,0,0,0,0,0,0,349.0542285
0.058,0.072,0.155,0.041,0.08,0.066,0.144,0.118,0.086,0.18,0,0,0,0,0,0,0,0,0,0,665.9002109
0.145,0.112,0.034,0.13,0.162,0.084,0.08,0.06,0.187,0.006,0,0,0,0,0,0,0,0,0,0,373.0024451
0.107,0.007,0.111,0.033,0.175,0.095,0.107,0.185,0.046,0.134,0,0,0,0,0,0,0,0,0,0,452.1759311
0.13,0.084,0.146,0.139,0.183,0.023,0.073,0.15,0.027,0.045,0,0,0,0,0,0,0,0,0,0,399.599505
0.115,0.174,0.012,0.172,0.032,0.088,0.046,0.087,0.103,0.171,0,0,0,0,0,0,0,0,0,0,431.9042558
0.035,0.079,0.035,0.026,0.107,0.234,0.173,0.106,0.019,0.186,0,0,0,0,0,0,0,0,0,0,917.0413926
0.035,0.035,0.024,0.139,0.18,0.178,0.023,0.138,0.138,0.11,0,0,0,0,0,0,0,0,0,0,917.0100798
0.133,0.004,0.154,0.155,0.133,0.1,0.117,0.033,0.06,0.111,0,0,0,0,0,0,0,0,0,0,393.950756
0.024,0.197,0.193,0.056,0.204,0.005,0.202,0.06,0.028,0.031,0,0,0,0,0,0,0,0,0,0,1162.107491
0.163,0.062,0.015,0.208,0.185,0.06,0.017,0.035,0.081,0.174,0,0,0,0,0,0,0,0,0,0,346.4010419
0.016,0.108,0.078,0.019,0.152,0.117,0.118,0.165,0.168,0.059,0,0,0,0,0,0,0,0,0,0,1506.497202
0.076,0.028,0.132,0.061,0.1,0.094,0.147,0.054,0.155,0.153,0,0,0,0,0,0,0,0,0,0,561.3588414
0.022,0.098,0.139,0.159,0.158,0.011,0.122,0.079,0.036,0.176,0,0,0,0,0,0,0,0,0,0,1229.433064
0.076,0.144,0.066,0.177,0.161,0.08,0.12,0.115,0.036,0.025,0,0,0,0,0,0,0,0,0,0,560.9240166
0.089,0.087,0.144,0.015,0.199,0.064,0.139,0.21,0.015,0.038,0,0,0,0,0,0,0,0,0,0,507.805537
0.151,0.009,0.004,0.142,0.124,0.194,0.047,0.053,0.173,0.103,0,0,0,0,0,0,0,0,0,0,363.6649398
0.137,0.067,0.131,0.163,0.106,0.037,0.15,0.005,0.059,0.145,0,0,0,0,0,0,0,0,0,0,386.6172591
0.053,0.142,0.033,0.181,0.139,0.117,0.015,0.112,0.136,0.072,0,0,0,0,0,0,0,0,0,0,704.6439385
0.141,0.137,0.207,0.026,0.103,0.026,0.177,0.055,0.012,0.116,0,0,0,0,0,0,0,0,0,0,379.5893549
0.161,0.025,0.104,0.025,0.137,0.044,0.098,0.134,0.15,0.122,0,0,0,0,0,0,0,0,0,0,349.199079
0.013,0.081,0.117,0.214,0.13,0.027,0.048,0.19,0.063,0.117,0,0,0,0,0,0,0,0,0,0,1716.89805
0.164,0.042,0.173,0.012,0.02,0.039,0.176,0.135,0.174,0.065,0,0,0,0,0,0,0,0,0,0,345.1203361
0.13,0.017,0.263,0.006,0.111,0.141,0.155,0.07,0.02,0.087,0,0,0,0,0,0,0,0,0,0,399.6515744
0.164,0.162,0.111,0.032,0.017,0.037,0.026,0.073,0.216,0.162,0,0,0,0,0,0,0,0,0,0,345.0899489
0.049,0.158,0.229,0.012,0.114,0.204,0.042,0.005,0.129,0.058,0,0,0,0,0,0,0,0,0,0,740.1407603
0.136,0.101,0.122,0.06,0.031,0.132,0.014,0.133,0.144,0.127,0,0,0,0,0,0,0,0,0,0,388.4863437
0.079,0.043,0.135,0.048,0.205,0.128,0.061,0.122,0.174,0.005,0,0,0,0,0,0,0,0,0,0,547.6231342
0.126,0.106,0.069,0.016,0.143,0.12,0.133,0.123,0.108,0.056,0,0,0,0,0,0,0,0,0,0,407.6997163
0.128,0.134,0.17,0.113,0.066,0.019,0.105,0.108,0.018,0.139,0,0,0,0,0,0,0,0,0,0,403.5468117
0.122,0.061,0.178,0.073,0.138,0.168,0.007,0.029,0.191,0.033,0,0,0,0,0,0,0,0,0,0,416.0274495
0.004,0.139,0.108,0.109,0.135,0.028,0.165,0.108,0.191,0.013,0,0,0,0,0,0,0,0,0,0,3450.905349
0.016,0.128,0.151,0.163,0.077,0.145,0.081,0.085,0.146,0.008,0,0,0,0,0,0,0,0,0,0,1503.745389
0.111,0.054,0.06,0.105,0.179,0.087,0.12,0.07,0.124,0.09,0,0,0,0,0,0,0,0,0,0,441.7317775
0.168,0.014,0.11,0.103,0.16,0.112,0.008,0.108,0.112,0.105,0,0,0,0,0,0,0,0,0,0,339.8581581
0.19,0.011,0.077,0.048,0.025,0.15,0.043,0.108,0.176,0.172,0,0,0,0,0,0,0,0,0,0,314.4503309
0.046,0.116,0.138,0.117,0.086,0.116,0.057,0.123,0.107,0.094,0,0,0,0,0,0,0,0,0,0,770.687631
0.135,0.039,0.156,0.061,0.102,0.15,0.134,0.025,0.141,0.057,0,0,0,0,0,0,0,0,0,0,390.2715337
0.148,0.183,0.102,0.051,0.117,0.11,0.051,0.159,0.014,0.065,0,0,0,0,0,0,0,0,0,0,368.1332918
0.039,0.14,0.038,0.054,0.012,0.192,0.161,0.12,0.109,0.135,0,0,0,0,0,0,0,0,0,0,856.1293868
0.022,0.133,0.12,0.189,0.006,0.122,0.233,0.078,0.089,0.008,0,0,0,0,0,0,0,0,0,0,1229.031093
0.14,0.09,0.119,0.07,0.096,0.102,0.119,0.033,0.081,0.15,0,0,0,0,0,0,0,0,0,0,381.3921119
0.044,0.081,0.227,0.097,0.032,0.078,0.02,0.355,0.05,0.016,0,0,0,0,0,0,0,0,0,0,792.6760145
0.101,0.16,0.027,0.149,0.137,0.092,0.101,0.087,0.091,0.055,0,0,0,0,0,0,0,0,0,0,468.753388
0.108,0.101,0.151,0.122,0.072,0.131,0.048,0.005,0.151,0.111,0,0,0,0,0,0,0,0,0,0,449.3415328
0.146,0.005,0.104,0.149,0.105,0.156,0.062,0.123,0.121,0.029,0,0,0,0,0,0,0,0,0,0,371.4222724
0.023,0.181,0.032,0.15,0.019,0.107,0.098,0.196,0.168,0.026,0,0,0,0,0,0,0,0,0,0,1195.750576
